URL,Date,Date-GMT,Likes,Comments,Caption,Hashtags,Location_ID,Location_Name,lat,lng,Original_Photo, Standard_Resolution_Photo_640, Low_Resolution_Photo_320, Thumbnail_Photo_150,username,Full_Name,User_ID,Profile_Picture 
https://www.instagram.com/p/BVgOJ8bAYQO/,1497837295,Jun 18 2017 20:54:55,143,8,"🚨ATTENTION ALL PAWRENTS!!!🚨 Just check out this pawsome tracker!!! (It's not a sponsored post.) 🦊🤘👍🖤 http://blog.getatrackr.com/pet2/?aff_sub4= .
.
. 
#geotracker #gps #tracker #dogtracker #doggps #yorkieaustralianterrier #yorki #yorkshireterrier #yorkshirepuppy #ilovedogs #dog #dogs #bae #love #nature #bushwalking #hiking #dogmum  #dogmom #mykidshavepaws #tasmania #tassie #yorkshire #australia #huntingdog #hunt #wildlife #wagaware #unitedpawsgroup #lostdogs","tracker,unitedpawsgroup,yorki,dog,love,dogtracker,yorkshirepuppy,ilovedogs,lostdogs,yorkieaustralianterrier,gps,wagaware,yorkshireterrier,yorkshire,hunt,wildlife,bae,hiking,tassie,bushwalking,australia,nature,geotracker,dogs,dogmom,doggps,dogmum,mykidshavepaws,tasmania,huntingdog",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19227834_475364959463773_2207621921812512768_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19227834_475364959463773_2207621921812512768_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19227834_475364959463773_2207621921812512768_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/19227834_475364959463773_2207621921812512768_n.jpg,fox.aka.rascal,"Fox 🦊 ♂🐾🖤🤘",5400946057,https://scontent.cdninstagram.com/t51.2885-19/s150x150/18581343_265604353906084_991853861570347008_a.jpg
https://www.instagram.com/p/BVebbTdgaJg/,1497777144,Jun 18 2017 04:12:24,26,2,"#labrador #naturalhabitat #water #summertime #dogsofinsta #brownlab #germany #doglife #hund #hundeaktivitätstracker #hundeliebe #waterresistant #dogtracker #doglove","water,doglove,germany,labrador,naturalhabitat,dogtracker,hundeaktivitätstracker,hundeliebe,brownlab,dogsofinsta,hund,summertime,doglife,waterresistant",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19228535_1895168580700279_2537543081650028544_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19228535_1895168580700279_2537543081650028544_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19228535_1895168580700279_2537543081650028544_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/19228535_1895168580700279_2537543081650028544_n.jpg,furryfit,"furryfit",2011838128,https://scontent.cdninstagram.com/t51.2885-19/s150x150/13248915_1602646240049406_1278813668_a.jpg
https://www.instagram.com/p/BVcHOxwAXZ9/,1497699446,Jun 17 2017 06:37:26,214,4,"Poised and ready to test @tractive on my walk 🐾🐾🐾#gps #gpstracker #dogtracker #tracker #boxer #boxerpup #boxerworld #boxer #boxergram#boxers #boxerdogs_ig #boxerdogs #boxersofinstagram#boxersofig #boxersrule #boxerofinstagram #boxersoninstagram #boxerpuppy #boxerpup #boxermom #boxerlove #boxerlover #boxeraddict #boxernation #boxerlife #boxerworld #boxerclub #boxeroftheday #ilovemyboxer #boxer #pet #pets #dog #dogs","boxerlover,boxernation,tracker,boxerlife,pets,boxeroftheday,boxerpup,dog,boxersoninstagram,dogtracker,boxersofig,ilovemyboxer,boxermom,boxerlove,boxergram,gps,boxerpuppy,boxers,boxerofinstagram,boxerdogs_ig,boxerclub,boxerworld,boxersofinstagram,gpstracker,boxer,dogs,boxeraddict,pet,boxerdogs,boxersrule",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19227926_217304108789343_3314178468480024576_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19227926_217304108789343_3314178468480024576_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19227926_217304108789343_3314178468480024576_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/19227926_217304108789343_3314178468480024576_n.jpg,layla_the_white_boxerdog,"Layla-the-white-boxerdog",5577706610,https://scontent.cdninstagram.com/t51.2885-19/s150x150/18947847_1719494611682496_1425895581397549056_a.jpg
https://www.instagram.com/p/BVWBc6pHl56/,1497495090,Jun 14 2017 21:51:30,46,2,"Oh Trig.  I've got my 👀 on you now.  No shopping at snider plaza, or cruising the hood for chicks or hanging out with the firemen. #ohtrig #whistle3 #gpsfordogs #dogtracker  #chocolatelab #lablover #fitbitfordogs #stopescaping #handsomeboy #sweetboy","whistle3,gpsfordogs,handsomeboy,fitbitfordogs,ohtrig,lablover,sweetboy,dogtracker,chocolatelab,stopescaping",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19227476_1416482131778443_7150206252381896704_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/19227476_1416482131778443_7150206252381896704_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/e35/p320x320/19227476_1416482131778443_7150206252381896704_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/c0.117.937.937/19227476_1416482131778443_7150206252381896704_n.jpg,khweaver11,"khweaver11",204186154,https://scontent.cdninstagram.com/t51.2885-19/s150x150/11429709_1703618663200700_471539483_a.jpg
https://www.instagram.com/p/BVTvRPyFQ8y/,1497418448,Jun 14 2017 00:34:08,7,0,"Stop the worrying with our gps pet trackers. 
20% off plus free shipping 
ending soon 
get yours here https://goo.gl/8bxjFK. #dogs #dogtraining #dogtracker #dogtrack #dogsofinstagram","dogs,dogtraining,dogtrack,dogtracker,dogsofinstagram",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19050900_1353836278039601_1844490829301809152_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19050900_1353836278039601_1844490829301809152_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19050900_1353836278039601_1844490829301809152_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/c257.0.565.565/19050900_1353836278039601_1844490829301809152_n.jpg,accessorizeitall,"Accessorize-it",5598114103,https://scontent.cdninstagram.com/t51.2885-19/s150x150/19051016_1548089868575617_3866941880461688832_a.jpg
https://www.instagram.com/p/BVQIiwgFOLW/,1497297481,Jun 12 2017 14:58:01,19,0,"For my puppy. Tracking her pee and poop. 😃 #bujotracker #bulletjournal #bulletjournaltracker #BuJo #dogtracker","bulletjournal,bujo,dogtracker,bulletjournaltracker,bujotracker",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19051871_235066526986529_965087947504222208_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/19051871_235066526986529_965087947504222208_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/e35/p320x320/19051871_235066526986529_965087947504222208_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/c0.134.1080.1080/19051871_235066526986529_965087947504222208_n.jpg,carolinasbujoandcrochet,"Carolina",4162446200,https://scontent.cdninstagram.com/t51.2885-19/s150x150/17495032_1573647626018872_4033147966536548352_a.jpg
https://www.instagram.com/p/BVLPEmNhE1H/,1497133132,Jun 10 2017 17:18:52,197,4,"We just purchased a new GPS Tracker (AKC Link) for Dooney, we are testing it out tonight.  We will give a review on it after trying it for awhile.  #bulletslabsri #dogoftheday #yellowlab #dog_features #dogdailyfeaturesss #labradortime #lovemydog #doggps #dogsofinstaworld #lovedogs #labs #labsofinstagram #bestoftheday #labradorretriever #labradoroftheday #dogsofinstgram #instagramdogs  #labradorsoninstagram  #dogtracker #dogsofinsta #pawlifestyles #bestlabradors #pawlifestyles #lovelabs  #happypuppy #instapuppy #dogoftheday #labrador_class #akclink","dogdailyfeaturesss,labradortime,lovelabs,akclink,bulletslabsri,labsofinstagram,labradorsoninstagram,dogtracker,dogsofinstaworld,bestoftheday,happypuppy,dog_features,labradorretriever,instapuppy,lovemydog,labs,instagramdogs,yellowlab,labrador_class,pawlifestyles,dogsofinsta,dogsofinstgram,dogoftheday,bestlabradors,doggps,lovedogs,labradoroftheday",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/19050412_220277281819290_572918258982715392_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19050412_220277281819290_572918258982715392_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/19050412_220277281819290_572918258982715392_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/19050412_220277281819290_572918258982715392_n.jpg,bulletslabsri,"🐾 Dooney The English Lab 🐾",10153997,https://scontent.cdninstagram.com/t51.2885-19/s150x150/18646637_1593134304044651_1211693828495376384_a.jpg
https://www.instagram.com/p/BU2MMhPgpvP/,1496426981,Jun 02 2017 13:09:41,75,0,"Actijoy™ team just got back from two weeks stay in New York. We participated in the TechCrunch Disrupt NY 2017 and accelerator program in NY! 😎😎🐶
.
.☝️☝️☝️Check link in my profile!☝️☝️☝️
.
#Startup #nyc #StartupAlley #startuplife #TCDisrupt #techcrunch #techcrunchdisrupt #czechinvest #startupshow #startups #startupschool #startupbusiness #startuptips #workteam #amazingoppertunity #timetogrowup #chancetogrow #proudofus #wearebosses #pettracker #dogtracker #enjoydog #happytogether #dog #cat #pets #devices #tech #technology2017","pets,dog,czechinvest,dogtracker,workteam,startupbusiness,techcrunch,amazingoppertunity,technology2017,tcdisrupt,cat,wearebosses,startuptips,startuplife,tech,proudofus,techcrunchdisrupt,startups,nyc,devices,startupshow,timetogrowup,chancetogrow,pettracker,startupschool,startupalley,happytogether,startup,enjoydog",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/18812169_1407881879269249_1830490172219719680_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18812169_1407881879269249_1830490172219719680_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/18812169_1407881879269249_1830490172219719680_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/18812169_1407881879269249_1830490172219719680_n.jpg,actijoy,"Actijoy™ – official fanpage",3611106630,https://scontent.cdninstagram.com/t51.2885-19/s150x150/16123430_1702916526686316_5156521139823968256_a.jpg
https://www.instagram.com/p/BU1Yh3VAgjA/,1496399893,Jun 02 2017 05:38:13,30,1,"Unsere ersten shirts, damit ihr uns auch auf Veranstaltungen erkennt 😉 #berufskleidung #startup #shirt #dog #doglove #hund #labrador #mywoofi #dogtracker #furryfit #onlythebest","shirt,doglove,dog,labrador,furryfit,dogtracker,berufskleidung,hund,startup,mywoofi,onlythebest",,,,,https://scontent.cdninstagram.com/t51.2885-15/e35/18879106_438088079888730_6851728140096503808_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/18879106_438088079888730_6851728140096503808_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/18879106_438088079888730_6851728140096503808_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/18879106_438088079888730_6851728140096503808_n.jpg,furryfit,"furryfit",2011838128,https://scontent.cdninstagram.com/t51.2885-19/s150x150/13248915_1602646240049406_1278813668_a.jpg
https://www.instagram.com/p/BUsyUgSA9n5/,1496111425,May 29 2017 21:30:25,36,2,"#bujo #bulletjournal #journal #journaling #june #junelayout #monthlayout #weeklayout #weekone #layout #moon #moontracker #habittracker #habits #sleeptracker #moodtracker #workouttracker #watertracker #dogtracker #wordcount #flower #sage #drawing #color #photography #406photography #406 #kalispell #montana #kalispellmontana","montana,weekone,moontracker,layout,drawing,june,junelayout,habits,color,dogtracker,journaling,journal,workouttracker,406,photography,moodtracker,moon,bujo,flower,kalispellmontana,weeklayout,watertracker,sleeptracker,bulletjournal,habittracker,406photography,sage,wordcount,monthlayout,kalispell",223859275,"Kalispell, Montana",48.1978,-114.316,https://scontent.cdninstagram.com/t51.2885-15/e35/18722851_771151239730643_5320833428789133312_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/sh0.08/e35/p640x640/18722851_771151239730643_5320833428789133312_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/e35/p320x320/18722851_771151239730643_5320833428789133312_n.jpg,https://scontent.cdninstagram.com/t51.2885-15/s150x150/e35/c0.135.1080.1080/18722851_771151239730643_5320833428789133312_n.jpg,siriface,"Siri Wheeler",614406770,https://scontent.cdninstagram.com/t51.2885-19/s150x150/17818312_1830282853890678_3795090629537562624_a.jpg
